columna,columna_1,"CUADRO 3 - Nacimientos por área y sexo, según departamento y municipio de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
5.0,5142.0,,05142 Caracolí,6,4,2,0,3,2,0,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5145.0,,05145 Caramanta,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5147.0,,05147 Carepa,77,42,35,0,29,26,0,4,4,0,9,5,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5148.0,,05148 El Carmen de Viboral,53,25,28,0,15,13,0,0,0,0,10,15,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5150.0,,05150 Carolina,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5154.0,,05154 Caucasia,146,64,82,0,54,76,0,1,2,0,9,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5172.0,,05172 Chigorodó,89,50,39,0,44,34,0,1,0,0,5,5,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5190.0,,05190 Cisneros,6,3,3,0,3,2,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5197.0,,05197 Cocorná,19,12,7,0,6,1,0,0,2,0,6,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5206.0,,05206 Concepción,3,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5209.0,,05209 Concordia,10,3,7,0,0,2,0,0,0,0,3,5,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5212.0,,05212 Copacabana,55,30,25,0,25,18,0,0,0,0,5,7,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5234.0,,05234 Dabeiba,21,10,11,0,6,7,0,0,0,0,4,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5237.0,,05237 Don Matías,17,9,8,0,6,3,0,0,0,0,3,5,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5240.0,,05240 Ebéjico,5,2,3,0,0,1,0,2,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5250.0,,05250 El Bagre,90,52,38,0,36,29,0,8,5,0,8,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5264.0,,05264 Entrerrios,5,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5266.0,,05266 Envigado,104,53,51,0,53,50,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5282.0,,05282 Fredonia,8,2,6,0,0,3,0,1,1,0,1,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5284.0,,05284 Frontino,26,11,15,0,5,5,0,0,0,0,6,10,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5306.0,,05306 Giraldo,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5308.0,,05308 Girardota,26,11,15,0,7,9,0,1,1,0,3,5,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5310.0,,05310 Gómez Plata,6,3,3,0,3,2,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5313.0,,05313 Granada,13,8,5,0,3,3,0,0,0,0,5,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5315.0,,05315 Guadalupe,3,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5318.0,,05318 Guarne,41,20,21,0,2,12,0,0,1,0,18,8,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5321.0,,05321 Guatapé,11,8,3,0,5,2,0,0,0,0,3,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5347.0,,05347 Heliconia,3,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5353.0,,05353 Hispania,3,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5360.0,,05360 Itagüí,177,86,91,0,64,69,0,20,19,0,2,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5361.0,,05361 Ituango,24,13,11,0,6,4,0,2,0,0,5,7,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5364.0,,05364 Jardín,14,10,4,0,3,2,0,1,0,0,6,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5368.0,,05368 Jericó,5,2,3,0,1,1,0,0,0,0,1,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5376.0,,05376 La Ceja,49,32,17,0,24,12,0,0,1,0,8,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5380.0,,05380 La Estrella,35,21,14,0,19,13,0,2,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5390.0,,05390 La Pintada,5,2,3,0,1,2,0,0,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5400.0,,05400 La Unión,21,13,8,0,4,2,0,2,0,0,7,6,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5411.0,,05411 Liborina,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5425.0,,05425 Maceo,5,2,3,0,0,2,0,1,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5440.0,,05440 Marinilla,61,31,30,0,17,21,0,1,0,0,13,9,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5467.0,,05467 Montebello,4,1,3,0,0,0,0,0,0,0,1,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5475.0,,05475 Murindó,6,2,4,0,0,3,0,0,0,0,2,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5480.0,,05480 Mutatá,68,33,35,0,13,11,0,16,23,0,4,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5483.0,,05483 Nariño,10,5,5,0,0,1,0,0,0,0,5,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5490.0,,05490 Necoclí,97,50,47,0,11,16,0,15,19,0,24,12,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5495.0,,05495 Nechí,43,17,26,0,13,17,0,0,1,0,4,8,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5501.0,,05501 Olaya,3,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5541.0,,05541 Peñol,25,15,10,0,7,5,0,0,0,0,8,5,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5543.0,,05543 Peque,7,2,5,0,2,1,0,0,2,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5576.0,,05576 Pueblorrico,5,0,5,0,0,2,0,0,0,0,0,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5579.0,,05579 Puerto Berrío,61,34,27,0,27,19,0,1,2,0,6,6,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5585.0,,05585 Puerto Nare,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5591.0,,05591 Puerto Triunfo,23,12,11,0,2,1,0,7,7,0,3,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5604.0,,05604 Remedios,33,14,19,0,9,13,0,0,1,0,5,5,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5607.0,,05607 Retiro,15,6,9,0,3,6,0,0,0,0,3,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5615.0,,05615 Rionegro,122,59,63,0,43,25,0,0,1,0,16,37,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5628.0,,05628 Sabanalarga,5,2,3,0,1,2,0,0,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5631.0,,05631 Sabaneta,56,25,31,0,24,31,0,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5642.0,,05642 Salgar,14,5,9,0,2,2,0,1,0,0,2,7,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5647.0,,05647 San Andrés de Cuerquía,6,2,4,0,1,3,0,0,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5649.0,,05649 San Carlos,10,6,4,0,3,3,0,0,0,0,3,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5652.0,,05652 San Francisco,3,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5656.0,,05656 San Jerónimo,19,9,10,0,2,5,0,1,2,0,6,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5658.0,,05658 San José de La Montaña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5659.0,,05659 San Juan de Urabá,40,17,23,0,7,9,0,2,1,0,8,13,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5660.0,,05660 San Luis,16,9,7,0,5,5,0,0,0,0,4,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5664.0,,05664 San Pedro de Los Milagros,22,10,12,0,7,5,0,0,0,0,3,7,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5665.0,,05665 San Pedro de Urabá,38,26,12,0,10,6,0,2,0,0,14,6,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5667.0,,05667 San Rafael,11,5,6,0,2,2,0,1,0,0,2,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5670.0,,05670 San Roque,15,10,5,0,3,1,0,2,1,0,5,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5674.0,,05674 San Vicente,16,8,8,0,2,4,0,0,0,0,6,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5679.0,,05679 Santa Bárbara,12,7,5,0,2,1,0,0,1,0,5,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5686.0,,05686 Santa Rosa de Osos,21,11,10,0,6,4,0,1,2,0,4,4,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5690.0,,05690 Santo Domingo,6,3,3,0,1,1,0,1,1,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5697.0,,05697 El Santuario,42,19,23,0,10,14,0,0,1,0,9,8,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5736.0,,05736 Segovia,52,22,30,0,19,24,0,1,3,0,2,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5756.0,,05756 Sonsón,31,17,14,0,9,4,0,0,3,0,8,7,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5761.0,,05761 Sopetrán,17,9,8,0,4,6,0,1,0,0,4,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5789.0,,05789 Támesis,7,1,6,0,1,4,0,0,1,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5790.0,,05790 Tarazá,34,18,16,0,11,11,0,2,5,0,5,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5792.0,,05792 Tarso,7,4,3,0,2,2,0,0,0,0,2,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5809.0,,05809 Titiribí,6,3,3,0,2,1,0,0,0,0,1,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5819.0,,05819 Toledo,4,2,2,0,0,1,0,1,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5837.0,,05837 Turbo,221,116,105,0,53,45,0,38,36,0,25,24,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5842.0,,05842 Uramita,11,9,2,0,3,1,0,0,0,0,6,1,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5847.0,,05847 Urrao,42,24,18,0,7,8,0,0,2,0,17,8,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5854.0,,05854 Valdivia,17,12,5,0,1,1,0,1,2,0,10,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5856.0,,05856 Valparaíso,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5858.0,,05858 Vegachí,11,6,5,0,4,4,0,0,1,0,2,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5861.0,,05861 Venecia,7,3,4,0,3,0,0,0,1,0,0,3,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5873.0,,05873 Vigía del Fuerte,5,3,2,0,1,1,0,2,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5885.0,,05885 Yalí,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5887.0,,05887 Yarumal,35,22,13,0,15,8,0,2,3,0,5,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5890.0,,05890 Yolombó,15,9,6,0,4,3,0,2,1,0,3,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5893.0,,05893 Yondó,9,2,7,0,1,5,0,1,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5895.0,,05895 Zaragoza,36,14,22,0,10,17,0,1,0,0,3,5,0,0,0,0,2022,nacimientos,Cuadro3
5.0,5999.0,,Sin Información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8000.0,08 Atlántico,Total,2967,1532,1435,0,1494,1399,0,30,27,0,8,9,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8001.0,,08001 Barranquilla,1620,830,790,0,827,788,0,3,2,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8078.0,,08078 Baranoa,70,37,33,0,33,32,0,3,1,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8137.0,,08137 Campo de La Cruz,31,19,12,0,18,11,0,1,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8141.0,,08141 Candelaria,19,11,8,0,11,8,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8296.0,,08296 Galapa,74,36,38,0,35,37,0,0,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8372.0,,08372 Juan de Acosta,26,13,13,0,10,10,0,2,2,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8421.0,,08421 Luruaco,30,24,6,0,19,5,0,5,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8433.0,,08433 Malambo,146,71,75,0,70,73,0,1,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8436.0,,08436 Manatí,21,14,7,0,14,7,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8520.0,,08520 Palmar de Varela,25,8,17,0,8,17,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8549.0,,08549 Piojó,5,1,4,0,1,3,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8558.0,,08558 Polonuevo,13,8,5,0,8,3,0,0,1,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8560.0,,08560 Ponedera,40,16,24,0,12,18,0,4,6,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8573.0,,08573 Puerto Colombia,42,22,20,0,22,17,0,0,3,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8606.0,,08606 Repelón,32,16,16,0,13,15,0,3,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8634.0,,08634 Sabanagrande,33,18,15,0,18,15,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8638.0,,08638 Sabanalarga,112,59,53,0,49,45,0,8,6,0,2,2,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8675.0,,08675 Santa Lucía,16,6,10,0,6,10,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8685.0,,08685 Santo Tomás,27,12,15,0,11,15,0,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8758.0,,08758 Soledad,552,293,259,0,293,258,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8770.0,,08770 Suan,13,8,5,0,6,5,0,0,0,0,2,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8832.0,,08832 Tubará,10,7,3,0,7,2,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8849.0,,08849 Usiacurí,10,3,7,0,3,5,0,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3
8.0,8999.0,,Sin Información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
11.0,11000.0,11 Bogotá,Total,5154,2610,2543,1,2605,2537,1,2,0,0,3,6,0,0,0,0,2022,nacimientos,Cuadro3
11.0,11001.0,,"11001 Bogotá, D.C.",5154,2610,2543,1,2605,2537,1,2,0,0,3,6,0,0,0,0,2022,nacimientos,Cuadro3
11.0,11999.0,,Sin Información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13000.0,13 Bolívar,Total,2830,1459,1371,0,1221,1181,0,152,116,0,86,74,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13001.0,,13001 Cartagena,1396,716,680,0,665,648,0,44,30,0,7,2,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13006.0,,13006 Achí,40,19,21,0,10,7,0,1,3,0,8,11,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13030.0,,13030 Altos del Rosario,15,8,7,0,6,5,0,0,1,0,2,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13042.0,,13042 Arenal,19,12,7,0,10,6,0,0,0,0,2,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13052.0,,13052 Arjona,67,33,34,0,29,33,0,4,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13062.0,,13062 Arroyohondo,9,6,3,0,6,1,0,0,2,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13074.0,,13074 Barranco de Loba,22,14,8,0,7,5,0,4,1,0,3,2,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13140.0,,13140 Calamar,24,8,16,0,6,11,0,1,4,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13160.0,,13160 Cantagallo,10,5,5,0,2,3,0,2,2,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13188.0,,13188 Cicuco,6,3,3,0,3,1,0,0,2,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13212.0,,13212 Córdoba,10,0,10,0,0,5,0,0,3,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13222.0,,13222 Clemencia,17,6,11,0,5,11,0,1,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13244.0,,13244 El Carmen de Bolívar,91,48,43,0,31,35,0,5,0,0,12,8,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13248.0,,13248 El Guamo,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13268.0,,13268 El Peñón,12,6,6,0,4,4,0,1,1,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13300.0,,13300 Hatillo de Loba,15,12,3,0,2,0,0,7,2,0,3,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13430.0,,13430 Magangué,310,156,154,0,152,148,0,3,5,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13433.0,,13433 Mahates,25,14,11,0,11,9,0,2,1,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13440.0,,13440 Margarita,10,4,6,0,1,3,0,3,3,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13442.0,,13442 María La Baja,71,41,30,0,26,25,0,14,4,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13458.0,,13458 Montecristo,16,5,11,0,3,6,0,0,1,0,2,4,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13468.0,,13468 Mompós,70,39,31,0,33,25,0,6,5,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13473.0,,13473 Morales,23,15,8,0,7,3,0,3,2,0,5,3,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13490.0,,13490 Norosí,10,5,5,0,1,2,0,3,1,0,1,2,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13549.0,,13549 Pinillos,17,9,8,0,1,2,0,7,5,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13580.0,,13580 Regidor,13,8,5,0,4,4,0,1,0,0,3,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13600.0,,13600 Río Viejo,12,8,4,0,5,1,0,1,0,0,2,3,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13620.0,,13620 San Cristóbal,8,5,3,0,5,3,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13647.0,,13647 San Estanislao,12,7,5,0,7,4,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13650.0,,13650 San Fernando,8,3,5,0,1,2,0,2,3,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13654.0,,13654 San Jacinto,23,17,6,0,15,4,0,0,0,0,2,2,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13655.0,,13655 San Jacinto del Cauca,10,5,5,0,1,2,0,4,2,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13657.0,,13657 San Juan Nepomuceno,38,14,24,0,13,21,0,1,3,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13667.0,,13667 San Martín de Loba,31,16,15,0,10,5,0,3,7,0,3,3,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13670.0,,13670 San Pablo,44,25,19,0,17,8,0,4,5,0,4,6,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13673.0,,13673 Santa Catalina,10,6,4,0,4,2,0,1,2,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13683.0,,13683 Santa Rosa,53,26,27,0,18,24,0,3,0,0,5,3,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13688.0,,13688 Santa Rosa del Sur,54,29,25,0,15,15,0,7,4,0,7,6,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13744.0,,13744 Simití,26,15,11,0,4,5,0,10,5,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
13.0,13760.0,,13760 Soplaviento,12,4,8,0,3,7,0,0,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3
