columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen
85.0,85139.0,,,Rural disperso,6,0,0,1,1,1,2,1,0,0,2022,nacimientos,Cuadro6A
85.0,85139.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85162.0,,85162 Monterrey,Total,13,0,1,0,1,3,4,3,1,0,2022,nacimientos,Cuadro6A
85.0,85162.0,,,Cabecera municipal,7,0,0,0,0,1,2,3,1,0,2022,nacimientos,Cuadro6A
85.0,85162.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85162.0,,,Rural disperso,6,0,1,0,1,2,2,0,0,0,2022,nacimientos,Cuadro6A
85.0,85162.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85225.0,,85225 Nunchía,Total,14,0,0,0,0,5,6,3,0,0,2022,nacimientos,Cuadro6A
85.0,85225.0,,,Cabecera municipal,4,0,0,0,0,1,2,1,0,0,2022,nacimientos,Cuadro6A
85.0,85225.0,,,Centro poblado,2,0,0,0,0,1,0,1,0,0,2022,nacimientos,Cuadro6A
85.0,85225.0,,,Rural disperso,8,0,0,0,0,3,4,1,0,0,2022,nacimientos,Cuadro6A
85.0,85225.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85230.0,,85230 Orocué,Total,10,0,0,1,0,3,4,1,1,0,2022,nacimientos,Cuadro6A
85.0,85230.0,,,Cabecera municipal,3,0,0,0,0,1,2,0,0,0,2022,nacimientos,Cuadro6A
85.0,85230.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85230.0,,,Rural disperso,7,0,0,1,0,2,2,1,1,0,2022,nacimientos,Cuadro6A
85.0,85230.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85250.0,,85250 Paz de Ariporo,Total,43,0,0,1,3,9,20,9,1,0,2022,nacimientos,Cuadro6A
85.0,85250.0,,,Cabecera municipal,31,0,0,0,1,7,15,7,1,0,2022,nacimientos,Cuadro6A
85.0,85250.0,,,Centro poblado,1,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85250.0,,,Rural disperso,11,0,0,1,1,2,5,2,0,0,2022,nacimientos,Cuadro6A
85.0,85250.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85263.0,,85263 Pore,Total,21,0,2,1,0,4,11,2,1,0,2022,nacimientos,Cuadro6A
85.0,85263.0,,,Cabecera municipal,14,0,2,1,0,2,8,1,0,0,2022,nacimientos,Cuadro6A
85.0,85263.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85263.0,,,Rural disperso,7,0,0,0,0,2,3,1,1,0,2022,nacimientos,Cuadro6A
85.0,85263.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85279.0,,85279 Recetor,Total,1,0,0,1,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85279.0,,,Cabecera municipal,1,0,0,1,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85279.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85279.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85279.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85300.0,,85300 Sabanalarga,Total,2,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85300.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85300.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85300.0,,,Rural disperso,2,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85300.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85315.0,,85315 Sácama,Total,1,0,0,1,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85315.0,,,Cabecera municipal,1,0,0,1,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85315.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85315.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85315.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85325.0,,85325 San Luis de Palenque,Total,12,0,0,1,0,3,3,3,2,0,2022,nacimientos,Cuadro6A
85.0,85325.0,,,Cabecera municipal,7,0,0,1,0,2,2,0,2,0,2022,nacimientos,Cuadro6A
85.0,85325.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85325.0,,,Rural disperso,5,0,0,0,0,1,1,3,0,0,2022,nacimientos,Cuadro6A
85.0,85325.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85400.0,,85400 Támara,Total,8,0,0,0,0,0,5,3,0,0,2022,nacimientos,Cuadro6A
85.0,85400.0,,,Cabecera municipal,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
85.0,85400.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85400.0,,,Rural disperso,7,0,0,0,0,0,4,3,0,0,2022,nacimientos,Cuadro6A
85.0,85400.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85410.0,,85410 Tauramena,Total,26,0,0,0,2,2,12,10,0,0,2022,nacimientos,Cuadro6A
85.0,85410.0,,,Cabecera municipal,19,0,0,0,1,2,9,7,0,0,2022,nacimientos,Cuadro6A
85.0,85410.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85410.0,,,Rural disperso,7,0,0,0,1,0,3,3,0,0,2022,nacimientos,Cuadro6A
85.0,85410.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85430.0,,85430 Trinidad,Total,15,0,0,0,0,4,7,4,0,0,2022,nacimientos,Cuadro6A
85.0,85430.0,,,Cabecera municipal,9,0,0,0,0,2,5,2,0,0,2022,nacimientos,Cuadro6A
85.0,85430.0,,,Centro poblado,2,0,0,0,0,1,0,1,0,0,2022,nacimientos,Cuadro6A
85.0,85430.0,,,Rural disperso,4,0,0,0,0,1,2,1,0,0,2022,nacimientos,Cuadro6A
85.0,85430.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85440.0,,85440 Villanueva,Total,33,1,0,0,0,9,11,12,0,0,2022,nacimientos,Cuadro6A
85.0,85440.0,,,Cabecera municipal,27,1,0,0,0,9,10,7,0,0,2022,nacimientos,Cuadro6A
85.0,85440.0,,,Centro poblado,1,0,0,0,0,0,0,1,0,0,2022,nacimientos,Cuadro6A
85.0,85440.0,,,Rural disperso,5,0,0,0,0,0,1,4,0,0,2022,nacimientos,Cuadro6A
85.0,85440.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85999.0,,Sin Información,Total,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85999.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85999.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85999.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
85.0,85999.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86000.0,86 Putumayo,Total Dpto,Total,396,2,3,5,23,84,169,91,18,1,2022,nacimientos,Cuadro6A
86.0,86000.0,,,Cabecera municipal,233,1,3,2,14,54,94,55,9,1,2022,nacimientos,Cuadro6A
86.0,86000.0,,,Centro poblado,23,0,0,0,1,4,11,6,1,0,2022,nacimientos,Cuadro6A
86.0,86000.0,,,Rural disperso,140,1,0,3,8,26,64,30,8,0,2022,nacimientos,Cuadro6A
86.0,86000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86001.0,,86001 Mocoa,Total,47,1,1,0,2,10,23,9,1,0,2022,nacimientos,Cuadro6A
86.0,86001.0,,,Cabecera municipal,36,1,1,0,2,7,17,8,0,0,2022,nacimientos,Cuadro6A
86.0,86001.0,,,Centro poblado,3,0,0,0,0,1,2,0,0,0,2022,nacimientos,Cuadro6A
86.0,86001.0,,,Rural disperso,8,0,0,0,0,2,4,1,1,0,2022,nacimientos,Cuadro6A
86.0,86001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86219.0,,86219 Colón,Total,6,0,0,0,1,0,3,2,0,0,2022,nacimientos,Cuadro6A
86.0,86219.0,,,Cabecera municipal,4,0,0,0,0,0,3,1,0,0,2022,nacimientos,Cuadro6A
86.0,86219.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86219.0,,,Rural disperso,2,0,0,0,1,0,0,1,0,0,2022,nacimientos,Cuadro6A
86.0,86219.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86320.0,,86320 Orito,Total,46,0,0,1,4,8,18,12,2,1,2022,nacimientos,Cuadro6A
86.0,86320.0,,,Cabecera municipal,29,0,0,1,1,5,11,8,2,1,2022,nacimientos,Cuadro6A
86.0,86320.0,,,Centro poblado,2,0,0,0,0,0,1,1,0,0,2022,nacimientos,Cuadro6A
86.0,86320.0,,,Rural disperso,15,0,0,0,3,3,6,3,0,0,2022,nacimientos,Cuadro6A
86.0,86320.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86568.0,,86568 Puerto Asís,Total,113,0,2,2,7,27,41,27,7,0,2022,nacimientos,Cuadro6A
86.0,86568.0,,,Cabecera municipal,67,0,2,0,5,15,25,16,4,0,2022,nacimientos,Cuadro6A
86.0,86568.0,,,Centro poblado,5,0,0,0,1,0,3,1,0,0,2022,nacimientos,Cuadro6A
86.0,86568.0,,,Rural disperso,41,0,0,2,1,12,13,10,3,0,2022,nacimientos,Cuadro6A
86.0,86568.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86569.0,,86569 Puerto Caicedo,Total,12,0,0,0,1,1,8,2,0,0,2022,nacimientos,Cuadro6A
86.0,86569.0,,,Cabecera municipal,6,0,0,0,0,1,3,2,0,0,2022,nacimientos,Cuadro6A
86.0,86569.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86569.0,,,Rural disperso,6,0,0,0,1,0,5,0,0,0,2022,nacimientos,Cuadro6A
86.0,86569.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86571.0,,86571 Puerto Guzmán,Total,27,0,0,0,2,3,14,6,2,0,2022,nacimientos,Cuadro6A
86.0,86571.0,,,Cabecera municipal,12,0,0,0,0,2,5,4,1,0,2022,nacimientos,Cuadro6A
86.0,86571.0,,,Centro poblado,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86571.0,,,Rural disperso,14,0,0,0,2,0,9,2,1,0,2022,nacimientos,Cuadro6A
86.0,86571.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86573.0,,86573 Puerto Leguízamo,Total,29,1,0,0,1,7,12,6,2,0,2022,nacimientos,Cuadro6A
86.0,86573.0,,,Cabecera municipal,19,0,0,0,1,5,8,4,1,0,2022,nacimientos,Cuadro6A
86.0,86573.0,,,Centro poblado,4,0,0,0,0,1,3,0,0,0,2022,nacimientos,Cuadro6A
86.0,86573.0,,,Rural disperso,6,1,0,0,0,1,1,2,1,0,2022,nacimientos,Cuadro6A
86.0,86573.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86749.0,,86749 Sibundoy,Total,10,0,0,0,0,2,6,2,0,0,2022,nacimientos,Cuadro6A
86.0,86749.0,,,Cabecera municipal,6,0,0,0,0,1,5,0,0,0,2022,nacimientos,Cuadro6A
86.0,86749.0,,,Centro poblado,2,0,0,0,0,0,0,2,0,0,2022,nacimientos,Cuadro6A
86.0,86749.0,,,Rural disperso,2,0,0,0,0,1,1,0,0,0,2022,nacimientos,Cuadro6A
86.0,86749.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86755.0,,86755 San Francisco,Total,5,0,0,0,2,1,1,1,0,0,2022,nacimientos,Cuadro6A
86.0,86755.0,,,Cabecera municipal,5,0,0,0,2,1,1,1,0,0,2022,nacimientos,Cuadro6A
86.0,86755.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86755.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86755.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86757.0,,86757 San Miguel,Total,18,0,0,1,0,2,9,5,1,0,2022,nacimientos,Cuadro6A
86.0,86757.0,,,Cabecera municipal,3,0,0,0,0,1,2,0,0,0,2022,nacimientos,Cuadro6A
86.0,86757.0,,,Centro poblado,1,0,0,0,0,0,0,1,0,0,2022,nacimientos,Cuadro6A
86.0,86757.0,,,Rural disperso,14,0,0,1,0,1,7,4,1,0,2022,nacimientos,Cuadro6A
86.0,86757.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86760.0,,86760 Santiago,Total,3,0,0,0,0,1,1,1,0,0,2022,nacimientos,Cuadro6A
86.0,86760.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86760.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86760.0,,,Rural disperso,2,0,0,0,0,0,1,1,0,0,2022,nacimientos,Cuadro6A
86.0,86760.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86865.0,,86865 Valle del Guamuez,Total,44,0,0,0,2,14,20,7,1,0,2022,nacimientos,Cuadro6A
86.0,86865.0,,,Cabecera municipal,23,0,0,0,2,10,7,4,0,0,2022,nacimientos,Cuadro6A
86.0,86865.0,,,Centro poblado,2,0,0,0,0,0,2,0,0,0,2022,nacimientos,Cuadro6A
86.0,86865.0,,,Rural disperso,19,0,0,0,0,4,11,3,1,0,2022,nacimientos,Cuadro6A
86.0,86865.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86885.0,,86885 Villagarzón,Total,36,0,0,1,1,8,13,11,2,0,2022,nacimientos,Cuadro6A
86.0,86885.0,,,Cabecera municipal,22,0,0,1,1,5,7,7,1,0,2022,nacimientos,Cuadro6A
86.0,86885.0,,,Centro poblado,3,0,0,0,0,1,0,1,1,0,2022,nacimientos,Cuadro6A
86.0,86885.0,,,Rural disperso,11,0,0,0,0,2,6,3,0,0,2022,nacimientos,Cuadro6A
86.0,86885.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86999.0,,Sin Información,Total,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86999.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86999.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86999.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
86.0,86999.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88000.0,88 Archipiélago de San Andrés y Providencia,Total Dpto,Total,49,0,0,1,6,16,17,7,2,0,2022,nacimientos,Cuadro6A
88.0,88000.0,,,Cabecera municipal,35,0,0,0,2,12,14,6,1,0,2022,nacimientos,Cuadro6A
88.0,88000.0,,,Centro poblado,10,0,0,0,4,4,0,1,1,0,2022,nacimientos,Cuadro6A
88.0,88000.0,,,Rural disperso,4,0,0,1,0,0,3,0,0,0,2022,nacimientos,Cuadro6A
88.0,88000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88001.0,,88001 San Andrés,Total,47,0,0,1,5,16,16,7,2,0,2022,nacimientos,Cuadro6A
88.0,88001.0,,,Cabecera municipal,34,0,0,0,2,12,13,6,1,0,2022,nacimientos,Cuadro6A
88.0,88001.0,,,Centro poblado,9,0,0,0,3,4,0,1,1,0,2022,nacimientos,Cuadro6A
88.0,88001.0,,,Rural disperso,4,0,0,1,0,0,3,0,0,0,2022,nacimientos,Cuadro6A
88.0,88001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88564.0,,88564 Providencia,Total,2,0,0,0,1,0,1,0,0,0,2022,nacimientos,Cuadro6A
88.0,88564.0,,,Cabecera municipal,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
88.0,88564.0,,,Centro poblado,1,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88564.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88564.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88999.0,,Sin Información,Total,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88999.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88999.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88999.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
88.0,88999.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91000.0,91 Amazonas,Total Dpto,Total,77,0,1,2,4,23,32,11,4,0,2022,nacimientos,Cuadro6A
91.0,91000.0,,,Cabecera municipal,48,0,0,2,1,16,16,9,4,0,2022,nacimientos,Cuadro6A
91.0,91000.0,,,Centro poblado,12,0,1,0,0,3,8,0,0,0,2022,nacimientos,Cuadro6A
91.0,91000.0,,,Rural disperso,17,0,0,0,3,4,8,2,0,0,2022,nacimientos,Cuadro6A
91.0,91000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91001.0,,91001 Leticia,Total,58,0,0,2,2,18,22,10,4,0,2022,nacimientos,Cuadro6A
91.0,91001.0,,,Cabecera municipal,47,0,0,2,1,15,16,9,4,0,2022,nacimientos,Cuadro6A
91.0,91001.0,,,Centro poblado,4,0,0,0,0,1,3,0,0,0,2022,nacimientos,Cuadro6A
91.0,91001.0,,,Rural disperso,7,0,0,0,1,2,3,1,0,0,2022,nacimientos,Cuadro6A
91.0,91001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91263.0,,91263 El Encanto,Total,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91263.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91263.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91263.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91263.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91405.0,,91405 La Chorrera,Total,4,0,0,0,0,2,2,0,0,0,2022,nacimientos,Cuadro6A
91.0,91405.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91405.0,,,Centro poblado,2,0,0,0,0,1,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91405.0,,,Rural disperso,2,0,0,0,0,1,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91405.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91407.0,,91407 La Pedrera,Total,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91407.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91407.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91407.0,,,Rural disperso,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91407.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91430.0,,91430 La Victoria,Total,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91430.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91430.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91430.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91430.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91460.0,,91460 Mirití - Paraná,Total,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91460.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91460.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91460.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91460.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91530.0,,91530 Puerto Alegría,Total,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91530.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91530.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91530.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91530.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91536.0,,91536 Puerto Arica,Total,2,0,0,0,0,0,2,0,0,0,2022,nacimientos,Cuadro6A
91.0,91536.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91536.0,,,Centro poblado,2,0,0,0,0,0,2,0,0,0,2022,nacimientos,Cuadro6A
91.0,91536.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91536.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91540.0,,91540 Puerto Nariño,Total,8,0,1,0,2,2,2,1,0,0,2022,nacimientos,Cuadro6A
91.0,91540.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91540.0,,,Centro poblado,1,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91540.0,,,Rural disperso,6,0,0,0,2,1,2,1,0,0,2022,nacimientos,Cuadro6A
91.0,91540.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91669.0,,91669 Puerto Santander,Total,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91669.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91669.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91669.0,,,Rural disperso,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
91.0,91669.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91798.0,,91798 Tarapacá,Total,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91798.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91798.0,,,Centro poblado,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91798.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91798.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91999.0,,Sin Información,Total,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91999.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91999.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91999.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
91.0,91999.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
94.0,94000.0,94 Guainía,Total Dpto,Total,82,0,2,0,7,20,34,16,3,0,2022,nacimientos,Cuadro6A
94.0,94000.0,,,Cabecera municipal,64,0,2,0,4,17,27,11,3,0,2022,nacimientos,Cuadro6A
94.0,94000.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
94.0,94000.0,,,Rural disperso,18,0,0,0,3,3,7,5,0,0,2022,nacimientos,Cuadro6A
94.0,94000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
94.0,94001.0,,94001 Inírida,Total,79,0,2,0,7,20,33,14,3,0,2022,nacimientos,Cuadro6A
94.0,94001.0,,,Cabecera municipal,64,0,2,0,4,17,27,11,3,0,2022,nacimientos,Cuadro6A
94.0,94001.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
94.0,94001.0,,,Rural disperso,15,0,0,0,3,3,6,3,0,0,2022,nacimientos,Cuadro6A
94.0,94001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
94.0,94343.0,,94343 Barranco Minas,Total,2,0,0,0,0,0,1,1,0,0,2022,nacimientos,Cuadro6A
94.0,94343.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
94.0,94343.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
94.0,94343.0,,,Rural disperso,2,0,0,0,0,0,1,1,0,0,2022,nacimientos,Cuadro6A
94.0,94343.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
