columna,"CUADRO 7 - Defunciones maternas, por grupos de edad, según departamento de residencia y grupos de causas de defunción  (Lista de causas agrupadas 6/67 CIE-10 de OPS)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,,,,2024,defunciones,Cuadro7
,Volver al índice,,,,,,,,,,,,,2024,defunciones,Cuadro7
,"Departamento de residencia | Grupos de causas de defunción 
(Lista de causas agrupadas 6/67 CIE-10 de OPS)",,Total,Grupos de edad,,,,,,,,,,2024,defunciones,Cuadro7
,,,,"10 - 14
 años","15 - 19
 años","20 - 24
 años","25 - 29
 años","30 - 34
 años","35 - 39
 años","40 - 44
 años","45 - 49
 años","50 - 54
 años",Edad desconocida,2024,defunciones,Cuadro7
52.0,,Complicaciones del trabajo del parto y del parto (O60-O75),2,0,0,1,0,1,0,0,0,0,0,2024,defunciones,Cuadro7
52.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),2,0,1,0,1,0,0,0,0,0,0,2024,defunciones,Cuadro7
52.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),6,0,0,1,1,2,1,1,0,0,0,2024,defunciones,Cuadro7
54.0,54 Norte de Santander,TOTAL,7,0,0,2,2,2,0,1,0,0,0,2024,defunciones,Cuadro7
54.0,,Embarazo terminado en aborto (O00-O08),1,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
54.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
54.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
54.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
54.0,,Complicaciones del trabajo del parto y del parto (O60-O75),3,0,0,1,0,1,0,1,0,0,0,2024,defunciones,Cuadro7
54.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
54.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),3,0,0,0,2,1,0,0,0,0,0,2024,defunciones,Cuadro7
63.0,63 Quindío,TOTAL,1,0,0,0,0,0,1,0,0,0,0,2024,defunciones,Cuadro7
63.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
63.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
63.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
63.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
63.0,,Complicaciones del trabajo del parto y del parto (O60-O75),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
63.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
63.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),1,0,0,0,0,0,1,0,0,0,0,2024,defunciones,Cuadro7
66.0,66 Risaralda,TOTAL,3,0,1,1,1,0,0,0,0,0,0,2024,defunciones,Cuadro7
66.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
66.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
66.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
66.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
66.0,,Complicaciones del trabajo del parto y del parto (O60-O75),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
66.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
66.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),3,0,1,1,1,0,0,0,0,0,0,2024,defunciones,Cuadro7
